Student_Name,Gender,CGPA,Attendance_Percentage,Parent/Guardian_Education_level,Travel_time_to_college,Relation_between_teachers,First_Semester_marks,Second_Semester_marks,Third_Semester_marks,Failed_in_subject/course_before,Average_weekly_attendance,Study_time_at_home,Enjoy_free_time_with
Elizabeth Russell,Female,8.33,56.68,12th,24,Average,0,82,42,Yes,1.39,5.49,Study
Dakota Marsh,Male,9.62,53.99,10th,61,Poor,67,7,80,No,26.76,4.52,Gaming
Thomas Rivera,Female,9.6,50.95,10th,2,Average,49,66,58,No,86.06,5.98,Study
Amber Thomas,Male,6.37,25.55,10th,105,Good,55,37,65,Yes,40.97,3.35,Study
Terri Jones,Male,9.53,89.59,12th,92,Good,41,63,56,Yes,61.07,5.01,Friends
Olivia Friedman,Male,1.6,44.67,12th,42,Average,20,43,84,No,54.73,0.54,Family
Eric Woodard,Female,3.46,40.37,10th,98,Poor,46,17,91,No,88.0,8.51,Friends
Debra Fisher,Male,4.74,64.68,,11,Good,45,26,93,No,74.44,2.76,Gaming
Gina Fuentes,Female,9.46,81.95,,65,Poor,73,14,67,Yes,70.15,0.98,Gaming
Shane Andrews,Male,8.65,96.79,10th,89,Poor,63,26,2,Yes,97.75,1.37,Study
Jennifer Stewart,Female,9.16,14.71,10th,112,Average,11,38,29,Yes,19.65,1.03,Family
Cynthia Estes,Male,6.82,60.46,12th,29,Good,40,0,68,No,95.65,5.6,Family
Jeremiah Price,Female,3.57,4.22,12th,65,Average,45,12,71,Yes,98.96,9.43,Family
Erica Harris,Female,3.07,44.0,Degree,75,Average,64,65,29,No,96.28,9.01,Family
James Lewis,Male,6.85,98.44,,8,Average,2,95,48,No,66.73,3.14,Gaming
Charles Dunn,Female,7.66,19.92,12th,19,Good,40,76,99,Yes,47.81,3.49,Study
Crystal Cook,Female,2.3,15.34,Degree,37,Good,58,45,47,Yes,4.03,6.2,Study
Ebony Phelps,Male,9.03,64.12,Degree,110,Good,42,73,16,No,14.32,3.21,Gaming
Casey Combs,Male,9.91,52.55,12th,33,Poor,84,35,60,Yes,75.65,6.64,Gaming
Jennifer Smith,Male,3.0,39.86,Degree,3,Poor,77,60,90,Yes,98.71,9.22,Study
Jared Bernard,Female,6.74,53.22,,101,Average,43,97,54,No,88.34,0.31,Family
Christopher Kaiser,Male,1.18,8.07,,18,Good,5,15,97,Yes,93.17,5.58,Study
Sandra Murray,Female,6.01,87.74,12th,23,Average,46,35,68,Yes,35.47,4.52,Friends
Barry Scott,Male,8.11,19.89,10th,101,Good,15,90,100,Yes,55.49,8.15,Study
John Whitehead,Male,6.16,82.95,12th,38,Average,31,24,94,Yes,46.86,7.23,Family
Andrew Gonzalez,Male,4.59,87.93,10th,74,Poor,29,56,51,Yes,82.96,4.62,Study
Mitchell Hubbard,Male,3.45,62.83,12th,29,Good,11,50,63,No,57.89,7.16,Gaming
Nathan Quinn,Male,9.79,54.72,12th,116,Average,57,21,31,No,37.42,7.3,Gaming
Bobby Green,Male,9.34,10.92,Degree,53,Average,66,28,3,Yes,29.94,6.67,Gaming
Keith Ferguson,Male,9.78,59.22,Degree,110,Good,76,59,7,Yes,79.03,7.27,Family
Angel Garcia,Female,6.48,2.72,,111,Good,18,25,53,No,0.74,2.84,Family
Michelle Werner,Female,4.64,59.62,,107,Good,89,3,96,No,51.64,5.07,Gaming
Darren Butler,Female,4.43,26.15,,90,Poor,84,1,24,No,40.37,2.84,Study
Jason Le,Male,9.34,92.22,,47,Poor,93,1,68,Yes,96.04,4.27,Study
Chad Rios,Female,8.96,41.15,,53,Poor,19,89,73,Yes,58.72,1.83,Study
Timothy Ramos,Female,5.76,7.67,Degree,65,Average,19,75,18,No,4.62,4.58,Family
Christopher Boyer,Male,5.55,61.79,Degree,72,Good,2,84,38,No,56.68,3.51,Friends
Emily Stone,Female,9.59,79.05,,18,Poor,0,90,51,No,64.9,9.65,Friends
Jamie Davis,Male,7.84,53.78,Degree,55,Average,26,20,52,Yes,38.93,8.89,Study
Lisa Rodriguez,Female,6.5,56.09,,45,Average,22,87,99,No,38.71,3.0,Friends
Sarah Smith,Female,8.78,37.99,12th,37,Good,4,74,29,Yes,31.94,6.31,Study
Steven Patrick,Female,3.9,98.51,,32,Poor,67,100,94,Yes,73.21,5.48,Study
Antonio Pugh,Male,4.71,99.07,12th,52,Average,78,69,26,No,89.32,6.62,Friends
Tiffany Walters,Female,4.11,53.06,Degree,86,Average,10,26,9,Yes,90.03,2.2,Study
Jessica Parsons,Female,7.12,30.94,12th,100,Average,90,38,40,Yes,0.46,6.41,Friends
Brenda Cantu,Female,3.29,53.44,12th,55,Good,51,97,40,Yes,13.0,5.03,Friends
Lisa Ruiz,Male,6.25,80.2,10th,4,Average,59,4,94,Yes,78.58,4.17,Friends
Erica Brewer,Male,2.21,89.37,,69,Poor,6,95,31,No,11.02,9.34,Friends
Aaron Bryant,Male,4.43,58.12,10th,81,Poor,4,28,10,Yes,64.54,6.07,Gaming
Kelly Molina,Female,6.46,82.61,10th,9,Average,42,49,2,No,1.31,0.22,Study
Julie Olsen,Male,3.0,80.47,Degree,16,Poor,95,92,87,Yes,37.47,9.05,Study
Brett Mendez,Female,6.71,41.82,10th,73,Average,48,90,91,Yes,84.29,6.75,Study
Nathan Estrada,Male,4.05,79.56,Degree,72,Average,3,27,13,No,94.97,5.52,Gaming
Christine Bennett,Female,1.36,55.47,,43,Poor,15,72,33,Yes,37.14,0.07,Gaming
Chad Garcia,Male,9.61,88.42,10th,87,Average,75,97,78,Yes,13.35,1.51,Gaming
Michael Carroll,Male,9.67,30.95,12th,120,Average,83,42,18,No,94.27,8.91,Study
Dawn Lowe DDS,Male,8.8,87.62,,38,Poor,21,17,58,Yes,83.48,1.75,Family
Michelle Woodard,Female,7.52,69.77,12th,59,Average,67,84,31,Yes,33.16,3.76,Family
Jessica Randolph,Female,8.25,30.77,Degree,55,Good,99,24,80,Yes,11.66,6.57,Family
Nicholas Willis,Male,8.62,98.57,Degree,18,Average,14,24,23,No,0.23,9.39,Family
Mrs. Jennifer Sexton DDS,Male,7.41,27.72,Degree,82,Good,25,99,39,Yes,21.9,5.49,Family
Kevin Thompson,Female,5.02,21.37,10th,22,Average,68,9,89,No,9.48,0.05,Study
Jonathan Figueroa,Female,7.66,4.42,,59,Good,25,33,18,No,40.23,1.79,Friends
Sharon Pollard,Male,9.02,12.74,10th,61,Poor,61,63,91,Yes,85.04,9.68,Study
John Thompson,Male,9.46,56.6,12th,82,Average,21,50,42,No,35.32,8.49,Gaming
Michael Cooper,Female,1.44,81.23,Degree,92,Average,84,23,12,No,80.92,5.33,Gaming
Sarah Smith,Female,6.01,44.25,Degree,50,Poor,15,4,94,Yes,6.49,9.18,Friends
Christina Nguyen,Male,9.16,92.18,10th,50,Poor,55,2,29,Yes,42.56,8.99,Friends
James Miller,Male,3.27,23.54,Degree,120,Poor,81,22,51,No,61.91,8.17,Study
Courtney Stout,Female,8.11,3.54,10th,103,Good,12,31,75,Yes,77.07,5.13,Gaming
Brian Bell,Male,4.52,8.97,12th,114,Poor,41,72,56,No,94.63,3.83,Study
Carrie Reilly,Male,3.95,59.22,12th,120,Poor,3,96,42,Yes,74.54,7.82,Gaming
Kara Cox,Female,6.82,38.71,Degree,63,Good,82,50,94,No,83.54,9.21,Study
Cameron Young,Male,8.79,1.26,10th,94,Good,66,74,69,Yes,62.25,5.7,Study
Deanna Smith,Female,3.13,57.38,Degree,37,Average,22,25,82,Yes,95.89,7.96,Friends
Samantha Strong,Female,9.18,66.76,Degree,0,Poor,38,55,37,Yes,24.65,7.65,Study
Jennifer Wilson,Male,8.84,85.57,10th,100,Poor,29,15,15,Yes,69.22,4.5,Friends
Cory Maddox,Female,4.44,35.3,,48,Average,68,69,63,No,67.15,8.78,Friends
Melissa Donovan,Female,7.93,39.31,12th,74,Average,7,39,12,No,43.22,8.61,Family
Jenna Ray,Female,4.13,11.59,12th,83,Poor,17,74,23,No,42.1,1.94,Gaming
Deborah Bridges,Male,5.77,30.41,Degree,20,Good,55,73,64,No,23.63,4.07,Gaming
Hannah White,Male,8.93,91.01,12th,70,Poor,62,95,37,Yes,9.21,5.7,Friends
Jennifer Jackson,Female,7.28,62.25,,0,Poor,58,11,3,Yes,68.5,3.76,Study
Robert Morrow,Female,8.01,75.83,Degree,113,Good,29,70,21,Yes,18.67,7.43,Family
Stephen Baker,Male,4.66,62.26,Degree,112,Average,43,9,61,Yes,15.73,7.02,Gaming
Tara Olson,Female,2.67,25.69,10th,10,Good,71,19,1,Yes,90.5,7.86,Family
Rachel Grant,Female,3.19,39.31,12th,34,Average,26,47,61,Yes,16.55,9.02,Study
Christopher Lopez,Female,8.64,49.91,12th,36,Average,49,63,26,No,6.75,4.25,Friends
Deborah Mitchell,Female,5.53,32.14,12th,58,Average,56,75,46,No,20.73,1.94,Study
Travis Mendoza,Female,5.24,95.91,10th,17,Good,51,98,49,Yes,75.05,0.81,Gaming
Brittany Bush,Female,8.08,25.59,,44,Poor,26,48,49,Yes,71.34,4.67,Gaming
Dana Pearson,Female,5.76,33.12,Degree,38,Average,13,68,44,No,21.24,6.07,Friends
Greg Moran,Male,5.66,79.31,10th,69,Good,96,85,26,Yes,29.06,3.43,Family
Amber Barber,Male,6.68,75.19,Degree,11,Poor,64,63,16,No,94.02,7.7,Family
Amber Mcneil,Female,7.5,84.9,,5,Good,76,85,21,No,26.45,8.71,Family
Alexander Suarez,Male,9.57,28.99,12th,110,Poor,72,63,80,Yes,76.82,0.6,Friends
Matthew Rose MD,Male,6.24,51.09,,56,Good,65,95,82,No,17.41,1.25,Friends
Traci Dean,Female,5.64,62.53,Degree,23,Poor,0,62,67,Yes,51.34,3.59,Gaming
Christine Boyle,Male,7.27,65.44,12th,1,Poor,1,91,42,No,36.15,9.78,Study
Christine Lewis,Female,6.98,16.59,12th,57,Poor,27,32,10,Yes,8.99,2.29,Family
Lisa Sanchez,Female,5.26,31.98,10th,111,Poor,36,3,43,Yes,6.19,8.33,Friends
Julie Castillo,Male,6.14,22.63,10th,29,Good,4,4,82,No,50.8,3.75,Gaming
Nicholas Mason,Female,9.11,28.6,12th,74,Average,10,68,4,Yes,71.05,1.0,Family
Janet Simmons,Female,5.23,84.37,10th,24,Good,71,27,68,Yes,93.52,7.02,Family
Mrs. Dawn Townsend,Female,8.29,77.45,12th,25,Poor,27,10,80,Yes,70.94,8.67,Gaming
Kaitlyn Smith,Male,5.06,32.54,10th,19,Average,27,15,47,Yes,25.24,1.97,Gaming
Alexander Rich,Female,8.55,15.88,10th,40,Poor,14,67,12,Yes,74.92,4.97,Friends
Lynn Lee,Male,8.7,11.71,10th,99,Good,76,88,94,No,23.79,0.29,Family
Joseph Friedman,Female,8.65,90.26,10th,34,Poor,21,47,46,Yes,79.0,8.59,Gaming
Judith Miller DDS,Female,3.32,58.86,,94,Poor,23,15,57,No,4.12,5.2,Gaming
Jason Jones,Male,9.33,61.82,Degree,9,Average,37,56,73,No,75.4,5.22,Gaming
Laura Mitchell,Female,2.71,13.21,Degree,25,Good,0,54,9,Yes,82.89,6.76,Friends
Jonathan Burns,Female,3.44,66.91,10th,50,Good,13,31,35,No,97.2,2.26,Family
Dawn Johnson,Female,7.34,17.74,10th,33,Poor,26,68,96,Yes,4.85,9.49,Study
Victor Farmer,Male,3.6,49.25,,51,Average,64,45,66,No,64.72,1.22,Friends
Amber Harris,Female,3.96,25.07,Degree,7,Poor,13,4,77,No,48.7,8.3,Gaming
John Smith,Female,8.71,44.95,10th,101,Good,76,11,28,No,6.67,9.42,Family
Danielle Lewis,Male,6.17,67.72,10th,10,Average,83,50,35,No,12.52,7.03,Friends
Patricia Barnes,Male,6.36,44.33,,75,Poor,52,11,40,Yes,96.53,7.22,Study
David Bowen,Female,5.59,95.06,12th,88,Good,86,71,68,No,35.59,9.65,Friends
Valerie Johnson,Male,2.38,51.11,,31,Good,39,31,68,Yes,7.5,2.27,Study
Mark Coleman,Male,9.12,91.83,12th,107,Average,10,91,66,Yes,2.23,7.44,Friends
Joshua Hanna,Female,3.4,66.66,,34,Poor,34,50,82,No,2.92,3.0,Family
Jeffery Walker,Male,8.91,48.46,10th,115,Poor,11,100,89,No,83.5,3.37,Study
Austin Roberts,Male,8.41,34.11,,79,Good,93,93,81,Yes,54.79,0.61,Study
Lauren Dunn,Female,6.81,5.1,Degree,50,Poor,82,23,22,No,31.66,3.46,Family
Ebony Bates,Female,8.25,42.71,,80,Poor,79,77,31,Yes,34.64,4.75,Friends
Patrick Russell,Male,6.67,52.06,,10,Good,48,24,40,No,89.64,0.38,Friends
Amanda Vega,Female,9.42,55.97,12th,41,Average,94,87,48,Yes,30.84,4.65,Study
Johnathan Orozco,Female,8.84,21.5,,81,Average,1,49,46,Yes,34.05,7.86,Friends
Dorothy Cross,Female,9.32,75.89,,19,Average,23,56,9,Yes,86.16,8.37,Gaming
Lynn Fisher,Male,8.25,88.51,12th,35,Poor,38,41,13,No,87.67,8.89,Study
Shane Pena,Male,9.9,38.59,12th,111,Average,15,96,2,No,71.69,1.82,Friends
Dana Livingston,Female,5.39,20.26,10th,47,Good,20,93,0,Yes,21.69,1.69,Family
Jennifer Hunter,Female,4.36,79.66,10th,0,Poor,85,54,50,Yes,37.82,2.86,Family
Michael Fisher,Female,5.58,94.82,Degree,67,Good,36,55,20,No,0.18,4.55,Friends
Chelsea Cochran,Female,8.06,31.9,10th,18,Poor,14,37,99,No,85.19,8.92,Study
Karen Rogers,Male,1.98,38.21,Degree,30,Poor,66,41,31,No,23.32,6.39,Gaming
Wendy White,Male,3.67,13.79,Degree,3,Average,82,86,73,No,87.83,2.72,Gaming
James Wolf,Female,6.49,57.46,10th,87,Poor,63,70,16,Yes,88.12,7.81,Family
John Harris,Male,2.86,95.99,,47,Poor,65,11,95,No,93.18,5.28,Family
Shari Pacheco,Female,2.5,88.4,,20,Poor,94,52,13,No,3.86,8.46,Study
Carolyn Howard,Female,3.25,56.22,,58,Poor,28,65,19,Yes,79.17,6.72,Friends
Barbara Sparks,Male,7.43,65.03,12th,46,Average,85,100,59,No,50.51,5.37,Study
Lauren Jones,Female,5.34,13.37,12th,20,Average,61,36,75,No,79.27,1.48,Gaming
Carla Gonzalez,Female,9.22,3.53,Degree,69,Good,47,58,86,Yes,94.29,2.42,Gaming
Mary Mckinney,Male,8.9,31.57,12th,92,Good,100,52,25,Yes,75.62,2.3,Study
Allison Bradley,Female,6.07,91.09,10th,63,Good,8,74,73,Yes,84.87,6.41,Friends
David Briggs,Male,2.6,78.35,Degree,36,Average,85,5,19,No,91.32,3.43,Study
Abigail Miller,Male,7.79,78.02,Degree,108,Good,65,71,84,No,7.57,4.36,Study
Robert Martin,Male,8.8,53.5,12th,16,Average,25,14,42,Yes,27.79,5.61,Study
Christina Cisneros,Male,7.75,26.77,12th,22,Poor,87,26,33,Yes,6.88,2.77,Gaming
Loretta Ruiz,Female,9.95,10.53,12th,74,Poor,23,22,48,No,53.12,9.6,Friends
Angela Navarro,Female,5.79,52.73,,17,Average,91,50,91,No,28.32,3.7,Family
Lauren Houston,Male,3.41,41.53,12th,114,Average,72,1,98,Yes,70.11,5.43,Friends
James Delgado,Female,3.34,36.46,Degree,23,Average,75,10,92,No,5.65,2.02,Gaming
Jessica Reilly,Male,6.03,52.45,,41,Average,72,93,82,No,71.64,2.0,Study
Christopher Smith,Female,8.49,39.7,10th,117,Average,12,44,14,Yes,37.72,9.27,Family
Kathryn Austin,Female,8.56,39.12,12th,18,Good,35,41,95,Yes,25.68,4.57,Gaming
Eric Romero,Male,6.33,36.16,12th,112,Poor,62,66,55,No,35.16,0.71,Gaming
Lauren Baker,Male,8.1,85.88,12th,5,Average,46,62,4,Yes,88.75,9.5,Gaming
Janet Jefferson,Female,5.07,61.87,12th,73,Good,40,74,7,Yes,38.34,2.86,Friends
Amanda Richard,Male,3.11,46.69,12th,40,Good,70,41,56,No,5.85,2.03,Friends
Nicholas Simpson,Male,7.92,73.09,10th,65,Good,21,15,13,Yes,98.33,7.63,Gaming
Daryl Grant,Male,7.76,20.84,12th,95,Poor,80,36,61,Yes,46.32,8.18,Gaming
Gina Mitchell,Male,9.26,79.17,10th,117,Good,8,15,74,No,27.1,6.12,Gaming
Cynthia Gardner,Female,2.85,36.34,10th,72,Good,63,24,60,No,89.78,8.14,Gaming
Karen Christian,Female,5.88,46.96,,116,Average,63,75,3,Yes,27.52,4.26,Friends
Todd Gardner,Male,6.98,86.04,Degree,13,Good,7,4,2,No,35.8,2.21,Study
Leslie Hurst,Male,6.96,99.6,10th,111,Good,39,77,5,No,79.03,7.44,Study
Jonathan Trevino,Male,9.68,91.55,,51,Good,51,4,60,No,65.42,4.88,Study
Michael Ayers,Male,3.82,57.83,Degree,36,Good,7,90,52,No,39.76,4.79,Friends
Raymond Reynolds,Female,7.37,8.87,10th,84,Poor,90,81,44,Yes,11.6,4.14,Gaming
Victoria Clark,Male,7.42,68.86,Degree,60,Good,46,34,49,Yes,43.84,6.99,Study
Corey King,Male,7.29,28.52,Degree,5,Average,11,81,13,Yes,38.22,8.32,Study
Kevin Rhodes,Female,4.7,21.17,10th,71,Poor,95,61,23,Yes,59.78,3.82,Gaming
Stephen Fleming,Female,6.05,41.31,Degree,0,Average,72,68,89,Yes,71.91,5.28,Study
Jennifer Hobbs,Female,6.67,24.73,12th,87,Average,28,44,6,Yes,91.06,5.61,Family
Kevin Boyd,Male,2.55,6.94,Degree,17,Poor,70,6,14,No,29.22,2.76,Gaming
Paul James,Male,9.31,16.23,12th,25,Poor,100,36,89,Yes,71.88,6.83,Family
Richard Shelton,Female,6.04,70.99,Degree,47,Poor,81,55,60,No,55.93,4.99,Study
Tiffany Floyd,Male,8.79,10.37,12th,30,Poor,98,65,31,Yes,34.97,0.27,Gaming
Bradley Johnson,Male,5.99,29.32,Degree,25,Poor,11,3,78,Yes,45.86,0.71,Friends
Andrew Contreras,Female,4.47,16.52,10th,66,Average,74,95,79,Yes,27.53,0.52,Friends
Ryan Johnson,Male,7.88,60.72,12th,83,Good,19,33,35,No,1.91,5.23,Friends
Kara Moore,Female,7.7,48.51,,119,Poor,30,47,37,No,97.65,4.9,Friends
Kevin Hunter,Male,7.74,54.45,12th,70,Poor,74,99,12,No,72.41,5.06,Friends
Phillip Roberts,Female,1.66,87.2,,80,Good,70,57,50,No,29.66,6.5,Family
Hayley Davis,Female,6.63,60.94,,35,Good,72,98,61,No,97.61,5.03,Family
Timothy Bishop,Female,9.81,16.63,Degree,114,Good,25,72,84,Yes,30.43,0.84,Gaming
Douglas Keller,Male,8.16,36.93,,19,Average,47,70,1,No,33.26,6.79,Family
Joshua Johnson,Female,8.64,45.18,,92,Average,74,1,54,Yes,39.05,9.84,Gaming
Nicholas Turner,Male,6.55,94.27,Degree,14,Poor,73,17,98,No,90.72,2.59,Study
Stephen Nelson,Female,7.57,83.4,12th,62,Average,100,45,88,No,75.5,0.65,Study
Emily Johnson,Male,6.89,90.05,10th,33,Average,64,20,78,No,4.34,6.67,Gaming
Erin Tran,Female,9.9,6.11,Degree,41,Good,41,72,70,No,72.46,4.1,Study
Wendy Jones,Female,6.96,86.93,12th,99,Poor,21,94,92,No,22.28,1.72,Friends
Joshua Garcia,Male,6.55,69.98,Degree,87,Good,57,43,32,No,78.86,6.56,Study
Lindsay Ward,Male,8.44,96.08,12th,72,Poor,50,40,2,No,57.03,9.23,Family
Austin Rhodes,Female,7.41,7.41,12th,102,Good,93,87,28,Yes,14.94,5.76,Gaming
Jay Brown,Male,6.32,15.42,12th,47,Good,66,78,97,Yes,22.72,9.65,Family
Sarah Hall,Male,1.28,13.94,,40,Poor,8,14,91,Yes,38.54,4.98,Gaming
Anne Rhodes,Male,4.93,15.47,10th,50,Poor,5,38,43,Yes,61.21,0.58,Study
Jason Sanders,Female,1.49,15.5,,116,Average,88,74,57,No,23.22,6.33,Gaming
Arthur Rose,Male,2.3,41.03,12th,103,Good,34,3,15,No,18.01,0.8,Family
Kristine Molina,Female,9.33,1.92,Degree,49,Poor,19,42,74,Yes,27.0,9.54,Study
Shaun Barnett,Male,2.34,64.03,,69,Good,20,78,64,Yes,92.92,8.05,Gaming
Amber Young,Female,6.26,36.78,Degree,95,Poor,26,50,69,Yes,9.48,6.07,Friends
Chloe Shaw,Female,7.67,35.79,12th,41,Average,18,78,38,No,70.55,1.41,Study
Yvette Gutierrez,Female,6.68,30.63,,49,Poor,13,15,25,Yes,72.01,9.08,Study
Zachary Livingston,Female,8.74,87.42,,74,Good,43,46,52,No,27.78,8.17,Gaming
Kelly Lawrence,Male,9.07,22.43,12th,101,Average,77,28,77,Yes,57.58,9.66,Study
Michelle Walker,Female,7.91,9.15,Degree,32,Good,41,67,34,No,36.06,3.29,Friends
Douglas Harris,Male,1.89,96.15,12th,100,Poor,56,32,71,No,5.9,1.71,Gaming
Russell Duke,Female,7.29,14.08,,47,Poor,18,77,84,No,47.36,7.37,Study
Ryan Anderson,Female,3.71,81.6,12th,64,Poor,5,42,38,No,90.31,2.15,Family
Suzanne Farley,Female,7.47,29.35,,10,Good,57,61,66,No,89.72,2.59,Gaming
Matthew Lopez,Female,3.72,69.32,10th,57,Good,95,100,79,No,55.78,6.96,Study
Michael Zavala,Male,5.12,35.69,Degree,53,Good,86,5,59,Yes,26.36,5.35,Friends
Phyllis Cameron,Female,5.69,27.77,10th,110,Poor,68,11,85,No,22.56,8.64,Friends
Valerie Becker,Female,8.23,21.0,12th,33,Average,23,41,23,Yes,91.44,6.92,Study
Angela Underwood,Female,1.53,98.8,12th,6,Good,57,16,92,Yes,37.44,6.78,Gaming
Peggy Boyd,Male,6.59,17.03,,9,Poor,21,49,42,Yes,60.39,3.78,Friends
Peggy Armstrong,Male,7.22,32.84,10th,34,Average,7,65,32,Yes,20.55,9.07,Family
Ellen Mullins,Female,2.61,53.44,Degree,9,Good,99,7,93,No,96.92,4.78,Gaming
Donald Pearson,Female,1.77,58.46,10th,120,Poor,68,94,33,Yes,53.0,9.29,Friends
Oscar Wilson,Male,8.14,24.77,,87,Average,20,56,31,No,72.72,4.01,Friends
Crystal Arnold,Female,3.18,44.48,12th,86,Poor,75,96,75,No,0.63,0.89,Friends
Nicole Ruiz,Female,7.43,64.7,10th,2,Poor,20,1,99,No,23.86,2.06,Friends
Stephanie Ortiz,Male,3.36,71.7,12th,76,Average,57,74,98,Yes,44.93,2.53,Family
Michael Rich,Male,6.48,86.01,10th,84,Good,28,37,56,Yes,19.4,1.48,Friends
William Clay,Male,7.59,46.14,Degree,21,Average,55,3,24,No,97.09,9.24,Family
Travis Warren,Male,9.16,58.09,,42,Poor,24,88,35,Yes,36.11,2.61,Study
Jose Rodriguez,Male,9.13,32.36,12th,1,Poor,23,52,58,Yes,49.82,7.63,Study
Jordan Greene,Female,8.41,0.64,12th,50,Average,53,59,77,No,0.99,5.38,Gaming
Melinda Skinner,Male,8.01,21.43,,1,Average,5,28,62,No,49.33,9.63,Family
Michael Brown,Male,4.51,14.99,Degree,7,Average,89,8,20,Yes,56.48,0.63,Gaming
Taylor Perez,Female,9.19,40.79,10th,14,Good,58,75,12,No,52.36,4.87,Friends
Christopher Gray,Female,4.38,31.35,12th,82,Good,40,22,77,Yes,75.63,9.43,Study
Joshua Harrison,Male,5.89,77.13,,102,Good,99,33,93,Yes,51.55,5.69,Study
Patrick Mathis,Male,6.11,9.74,Degree,53,Poor,67,47,85,No,46.58,1.93,Gaming
Margaret Yang,Female,9.48,44.89,Degree,27,Average,56,28,7,No,69.86,9.74,Friends
Mr. Jordan Hopkins,Male,2.12,44.38,,38,Poor,50,100,3,Yes,57.58,7.28,Study
Anthony Perez DDS,Male,1.74,87.34,12th,12,Poor,83,9,40,No,34.78,0.59,Family
Taylor Gibson,Male,6.15,41.87,10th,7,Poor,11,5,2,No,4.18,9.68,Study
Judy Wilkinson,Female,7.22,93.55,Degree,10,Poor,33,4,49,Yes,11.49,2.38,Family
Daniel Mckenzie,Male,7.96,67.96,,36,Good,33,30,75,Yes,11.93,2.67,Study
Ashley Hale,Female,7.74,18.92,12th,63,Average,85,72,3,Yes,77.54,6.84,Study
Richard Brown,Female,7.46,22.54,Degree,0,Average,98,78,55,No,3.39,4.32,Family
David Carter,Male,5.68,50.78,Degree,75,Good,16,24,30,No,27.07,7.72,Gaming
Mrs. Alexis Sanders DDS,Male,6.29,68.3,,80,Good,29,57,100,No,27.64,7.67,Gaming
Jeffrey Anderson,Female,9.77,42.72,10th,116,Average,77,86,14,No,57.96,4.52,Gaming
William Goodwin,Female,2.92,17.82,Degree,21,Poor,43,68,94,No,42.13,4.17,Gaming
Stephanie Mccoy,Female,3.46,52.71,,30,Good,34,72,69,Yes,72.38,9.67,Study
Kenneth Solis,Female,5.4,78.81,12th,59,Average,3,4,7,No,79.75,3.55,Friends
Brian Allen,Female,9.08,80.79,12th,119,Good,99,95,31,No,20.36,8.67,Friends
Sean Hooper,Female,7.4,67.01,Degree,56,Poor,10,79,88,No,31.04,2.12,Friends
Jim Baker DVM,Male,7.7,45.05,Degree,66,Good,69,69,76,Yes,80.31,9.02,Friends
Mitchell King Jr.,Male,6.51,45.07,12th,71,Poor,90,30,83,Yes,24.75,2.33,Study
Craig May,Male,7.66,29.97,,28,Average,32,38,29,Yes,32.59,0.6,Study
Diane Shaw,Male,3.28,10.71,,43,Good,11,17,69,No,40.47,8.97,Friends
